ID;Descripción
3;"VISA ORO"
4;MASTERCARD
5;"MASTERCARD EU"
6;"ACCESS CARD"
7;"MASTER EU BUSINESS TO BUSINESS"
8;"TARJETA 4B"
9;"QR ALIPAY"
11;CIRRUS
12;DINERS
14;"TARJETA EURO6000"
15;SUPERCAS
16;"VISA CORPORATE ORO"
17;"AMERICAN EXPRESS"
18;MAESTRO
19;"JCB CONSUMO"
20;CITICORP
21;CLAU
22;"VISA B2B"
23;MAESTRO
24;"VISA CORPORATE T&E CARD"
25;" VISA PURCHASING CARD "
26;"VISA BUSINESS PLATA"
27;"VISA BUSINESS GENERICA "
28;"VISA BUSINESS ORO"
29;"GASÓLEO DIPLOMATICO"
30;"VISA AFFINITY CLASICA"
31;"VISA AFFINITY ORO"
32;"VISA ATM"
33;"TRAVEL VOUCHER"
34;"VISA CASH "
35;"MASTERCARD ATM"
36;"MULTIBANCO SIBS"
37;"PRIVATE LEADER (L)"
38;"VISA AFFINITY ELECTRON"
39;"VISA CASH AFFINITY"
40;"VISA CASH-ELECTRON"
41;"VISA CASH-CLASSIC"
42;"VISA CASH-PREMIER"
43;"MONEDERO 4B ANONIMO"
44;"FICTICIO PAGO EFECTIVO"
45;"S4B CASH MIXTA"
46;"MONEDERO TEL. CAIXA"
47;"VISA PROPIETARY"
48;"MASTER DEBITO CASH S4B"
49;"VISA CASH ANONIMA"
50;"MAESTRO EURO6000"
51;"MASTER BUSINESS CORPORATE"
52;"MASTER PURCHASING"
53;"VISA TRAVEL MONEY"
54;"VISA CASH ELECTRÓN AFFINITY"
55;"MASTER EU BUSINESS"
56;"MASTER EU PURCHASING"
57;"MAESTRO ATM"
58;"MASTERCARD EU ORO"
59;"MASTER EU PLATINUM"
60;"MASTERCARD ORO"
61;"MASTER PLATINUM WORLD"
62;"VISA PLATINUM"
63;PRIVADA
64;"MASTER EU CORPORATE"
65;"MASTER EU WORLDSIGN"
66;"MASTER WORLD BUSINESS"
67;"VISA VIRTUAL"
68;"MASTER EU VIRTUAL"
69;"MASTERCARD EU CLIP"
70;TRASPONDEDORES
71;"MASTER EU ELECTRONIC"
72;"VISA INFINITE"
73;TRAVELCLUB
74;"MASTERCARD EU DEBITO"
75;"VISA VPAY"
76;"MASTERCARD EU WORLD"
77;"AMEX SERVIRED"
78;"CUP (ATM CAIXA)"
79;"MASTER EU CONSUMER PREPAGO"
80;"MASTER EU COMMERCIAL PREPAGO"
81;"MAESTRO CONSUMER PREPAGO"
82;"MAESTRO COMMERCIAL PREPAGO"
83;"MAESTRO SMALL BUSINESS"
84;"MASTERCARD WORLD"
85;"VIA-T EMPRESA"
86;"AMAZON PAY"
88;"CUP EMPRESA"
89;"CUP CONSUMER"
90;"JCB EMPRESA"
91;"MASTER MES"
92;"MASTER EU PLATINUM DEBITO"
93;"DINERS CONSUMER"
94;"DINERS COMMERCIAL"
97;MISCELANEA
98;"AGROTARJETA BRASIL"
2;"VISA ELECTRON"
99;EJEMPLO
321;"VISA, ASMOND"
10;"VISA CLASICA"
