ID;Descripción
01I;"VPAY REDSYS"
01J;"VISA CASH PREMIER SERVIRED"
01K;"VISA BUSINESS REDES"
01L;"VISA CASH SERVIRED"
01M;"VISA PLATINUM EXTRANJERA"
01N;"VISA BUSINESS SERVIRED"
01O;"VISA INFINITE SERVIRED"
01P;"VISA T&E CORPORATE SERVIRED"
01Q;"VISA CORPORATE T&E REDES"
01R;"VISA CASH ANONIMA SERVIRED"
01S;"VISA PLATINUM SERVIRED"
01T;"VISA BUSINESS EXTRANJERA"
01U;"VISA PURCHASING EXTRANJERA"
01V;"VISA CORPORATE T&E EXTRANJERA"
01W;"VISA TRAVEL MONEY EXTRANJERA"
01X;"VISA PURCHASING SERVIRED"
01Y;"VISA ELECTRON REDES"
01Z;"VISA INFINITE EXTRANJERA"
014;"VISA CLASSIC REDES"
015;"VISA CLASSIC ANDORRA"
016;"VISA CLASSIC EXTRANJERA"
017;"VISA PREMIER SERVIRED"
018;"VISA PREMIER REDSYS"
019;"VISA PREMIER REDES"
02A;"MASTERCARD EU WORLD SIGNIA EXT"
02B;"MASTER EU COMMERC. PREP EXTR."
02C;"MASTERCARD EU ORO SERVIRED"
02D;"DEBIT MASTERCARD EU EXTRANJERA"
02E;"MASTERCARD EU ELECTRONICS EXT"
02F;"CLIP EXTRANJERA"
02G;"MASTERCARD EU ORO EXTRANJERA"
02H;"MASTER EU PLATINUM EXTRANJERA"
02K;" MASTER EU BUSINESS REDES"
02M;"MASTER EU PLATINUM SERVIRED"
02N;"MASTER EU BUSINESS SERVIRED"
02P;"MASTER EU CORPORATE SERVIRED"
02Q;"MASTER EU CORPORATE REDES"
02R;"MASTER EXTRANJERA EU B2B"
02S;"MC EU PLATINUM SERVIRED DB"
02T;"MASTERCARD EU BUSINESS EXT"
02U;"MASTERCARD EU PURCHASING EXT"
02V;"MASTERCARD EU CORPORATE EXT"
02W;"MASTERCARD EU WORLD EXT"
02X;"MASTER EXTRANJERA MES"
021;"MASTERCARD EU DEBITO SERVIRED"
022;"MASTERCARD EU SERVIRED"
023;"MASTERCARD EU REDSYS"
024;"MASTERCARD EU REDES"
025;"MASTERCARD EU ANDORRA"
026;"MASTERCARD EU EXT"
027;"MASTER EU CONSUMER PREP SERV"
028;"MASTER EU CONSUMER PREP EXTR"
029;"MASTER EU COMM PREP SERV"
031;"MONEDERO 4B ANONIMO"
032;"MONEDERO 4B DEBITO SIN BANDA"
033;"MONEDERO 4B DEBITO CON BANDA"
034;"4B DEBITO"
035;"TARJETA EMV 4B"
036;"CUP COMPRAS EXTRANJERA"
042;"EUROCHEQUE SERVIRED (BAJA)"
043;"EUROCHEQUE SERMEPA_(BAJA)"
044;"EUROCHEQUE REDES (BAJA)"
045;"EUROCHEQUE ANDORRA (BAJA)"
046;"EUROCHEQUE EXTRANJERA (BAJA)"
050;"CAIXA OBERTA"
051;"MONEDERO TELEFONICO CAIXA"
06A;"MASTERCARD WORLD BUSINESS"
06M;"MASTERCARD WORLD EXTRANJERA"
06T;"MASTERCARD BUSINESS CORPORATE"
06U;"MASTERCARD PURCHASING EXT"
06W;"MASTER PLATINUM/WORLD EXT"
062;"MASTERCARD SERVIRED"
063;"MASTERCARD REDSYS"
064;"MASTERCARD REDES"
065;"MASTERCARD ANDORRA"
066;"MASTERCARD EXTRANJERA"
067;"MASTERCARD DEBITO CASH S4B"
068;"MASTERCARD ATM EXTRANJERA"
070;"CAJA MADRID - RED 6000"
080;SUPERCAS
081;"AMAZON PAY"
090;"TARJETAS PRIVADAS"
091;MISCELANEO
092;"ALIPAY PRIVADA"
093;"QR ALIPAY"
10A;"MAESTRO ATM SERVIRED"
10B;"MAESTRO COMMERC. PREPAGO EXT"
06D;"AGROTARJETA BRASIL"
10C;"MAESTRO CONSUMER PREPAGO EXT"
10D;"MAESTRO ATM ANDORRA"
10E;"MAESTRO SMALL BUSINESS EXT"
10F;"MAESTRO SMALL BUSINESS SERV"
100;R.U.F.
101;"MAESTRO CONSUMER PREPAGO SERV"
102;"MAESTRO SERVIRED"
103;"MAESTRO REDSYS"
104;"MAESTRO REDES"
105;"MAESTRO ANDORRA"
106;"MAESTRO EXTRANJERA"
107;"MAESTRO ATM REDES"
108;"MAESTRO ATM EXTRANJERA"
109;"MAESTRO COMM PREPAGO SERV"
110;"TARJETA EURO6000"
116;"CHINA UNION PAY (CUP)"
120;"AMEX NACIONAL"
121;"AMEX SERVIRED"
126;"AMEX EXTRANJERA"
136;"CIRRUS (ATM) EXTRANJERA"
140;"DINERS NACIONAL"
146;"DINERS EXTRANJERA"
147;"DINERS CONSUMER"
148;"DINERS COMMERCIAL"
156;"PLUS (ATM) EXTRANJERA"
160;"JCB EXTRANJERA"
163;"JCB REDSYS"
166;"JCB SEPA"
170;CITICORP
185;CLAU
190;"VISA B2B"
194;"VISA INFINITE REDES"
20F;"MULTIBANCO (SIBS)"
20H;SERMECHIP
200;GASOLEO
201;TRANSPONDEDORES
202;"TRASPONDEDOR EMPRESA"
223;"CUP EMPRESA"
226;"CHINA UNION PAY"
011;"VISA ELECTRON SERVIRED"
012;"VISA CLASSIC SERVIRED"
013;"VISA CLASSIC REDSYS"
01G;"VISA PURCHASING REDES"
01H;"VISA CASH CLASSIC SERVIRED"
01A;"VISA PREMIER ANDORRA"
01B;"VISA PREMIER EXTRANJERA"
01C;"VISA ELECTRON REDSYS"
01D;"VISA ELECTRON ANDORRA"
01E;"VISA ELECTRON EXTRANJERA"
01F;"VISA CASH ELECTRON SERVIRED"
