protocolo;"codigo error";"texto 1";"texto 2"
1;0;"OPERACION ACEPTADA";
1;10;"OPERACION ACEPTADA";
1;60;"OPERACION ACEPTADA";
1;85;"OPERACION ACEPTADA";
1;101;"TARJETA CADUCADA";
1;102;"OPERACION DENEGADA";
1;106;"EXCEDIDO NUMERO DE";" INTENTOS DEL PIN"
1;107;"LLAMAR AL EMISOR";
1;117;"PIN INCORRECTO";
1;160;"OPERACION DENEGADA";
1;172;"OPERACION DENEGADA";" NO REPETIR"
1;173;"OPERACION DENEGADA";
1;174;"OPERACION DENEGADA";
1;180;"TARJETA NO VALIDA";
1;190;"OPERACION DENEGADA";
1;192;"OPERACION DENEGADA";
1;193;"OPERACION DENEGADA";" IMPORTE EXCEDIDO"
1;195;"OPERACION DENEGADA";" REPITA OPERACION"
1;196;"PIN REQUERIDO";
1;201;"TARJETA CADUCADA";
1;202;"OPERACION DENEGADA";
1;206;"EXCEDIDO NUMERO DE";" INTENTOS DEL PIN"
1;290;"OPERACION DENEGADA";
1;300;"OPERACION REALIZADA";
1;380;"FICHERO COMPLETO";
1;400;"ANULACION ACEPTADA";
1;480;"ANULACION ACEPTADA";
1;481;"ANULACION ACEPTADA";
1;500;"CONCILIACION EN";" ACUERDO"
1;501;"CONCILIACION EN";" DESACUERDO"
1;503;"TOTALES NO";" DISPONIBLES"
1;560;"CONCILIACION EN";" ACUERDO"
1;561;"CONCILIACION EN";" DESACUERDO"
1;563;"TOTALES NO";" DISPONIBLES"
1;580;"DATOS DE ABONO";" ERRONEOS"
1;581;"DATOS DE ABONO";" ERRONEOS"
1;600;ACEPTADA;
1;604;"TOTALES NO";" ENCONTRADO"
1;660;ACEPTADA;
1;687;"MENSAJE NO";" RECONOCIDO"
1;800;ACEPTADO/ACTIVO;
1;882;SUSPENDIDO;
1;900;COMUNICACION;" ACEPTADA"
1;901;COMUNICACION;" ACEPTADA"
1;902;"OPERACION NO";" REALIZADA"
1;904;"ERROR EN FORMATO";" DE MENSAJE"
1;909;"ERROR DEL";" SISTEMA"
1;913;"MENSAJE DUPLICADO";
1;914;"ANULACION NO";" ENCONTRADO"
1;915;"RECHAZADA LA COLECTA";
1;916;"MAC ERRONEO";
1;940;"OPERACION YA";" ANULADA"
1;944;"SESION NO PERMITIDA";
1;947;"PETICION YA RECIBIDO";
1;948;"FECHA Y HORA NO";" SINCRONIZADA"
1;949;"ERROR FECHA";" DE CADUCIDAD"
1;950;"VIOLACION DE NORMAS";" DE AUTORIZACION"
1;965;"VIOLACION DE NORMAS";" DE DEVOLUCION"
1;9000;"PROCESADA EN CIDE";
1;705;"SALDO EN CUENTA <0";
12;adf;321;ca
1;126;"PIN INCORRECTO";" "
