Caja;Tienda;Empresa;"Número de Serie";Fabricante;Modelo;"Última Actualización"
10;2448;1;;0;0;"- -"
11;4535;0;;0;0;"- -"
13;4535;0;;0;0;"- -"
12;4535;0;;0;0;"- -"
14;4535;0;;0;0;"- -"
15;4535;0;;0;0;"- -"
16;4535;0;;0;0;"- -"
18;4535;0;;0;0;"- -"
17;4535;0;;0;0;"- -"
19;4535;0;;0;0;"- -"
20;4535;0;;0;0;"- -"
21;4535;0;;0;0;"- -"
22;4535;0;;0;0;"- -"
23;4535;0;;0;0;"- -"
24;4535;0;;0;0;"- -"
25;4535;0;;0;0;"- -"
26;4535;0;;0;0;"- -"
27;4535;0;;0;0;"- -"
28;4535;0;;0;0;"- -"
29;4535;0;;0;0;"- -"
30;4535;0;;0;0;"- -"
31;4535;0;;0;0;"- -"
32;4535;0;;0;0;"- -"
33;4535;0;;0;0;"- -"
34;4535;0;;0;0;"- -"
35;4535;0;;0;0;"- -"
36;4535;0;;0;0;"- -"
37;4535;0;;0;0;"- -"
38;4535;0;;0;0;"- -"
39;4535;0;;0;0;"- -"
41;4535;0;;0;0;"- -"
40;4535;0;;0;0;"- -"
42;4535;0;;0;0;"- -"
43;4535;0;;0;0;"- -"
45;4535;0;;0;0;"- -"
44;4535;0;;0;0;"- -"
46;4535;0;;0;0;"- -"
47;4535;0;;0;0;"- -"
48;4535;0;;0;0;"- -"
49;4535;0;;0;0;"- -"
50;4535;0;;0;0;"- -"
51;4535;0;;0;0;"- -"
52;4535;0;;0;0;"- -"
53;4535;0;;0;0;"- -"
54;4535;0;;0;0;"- -"
55;4535;0;;0;0;"- -"
56;4535;0;;0;0;"- -"
57;4535;0;;0;0;"- -"
58;4535;0;;0;0;"- -"
59;4535;0;;0;0;"- -"
60;4535;0;;0;0;"- -"
61;4535;0;;0;0;"- -"
62;4535;0;;0;0;"- -"
63;4535;0;;0;0;"- -"
64;4535;0;;0;0;"- -"
65;4535;0;;0;0;"- -"
66;4535;0;;0;0;"- -"
67;4535;0;;0;0;"- -"
68;4535;0;;0;0;"- -"
69;4535;0;;0;0;"- -"
70;4535;0;;0;0;"- -"
71;4535;0;;0;0;"- -"
72;4535;0;;0;0;"- -"
73;4535;0;;0;0;"- -"
74;4535;0;;0;0;"- -"
75;4535;0;;0;0;"- -"
76;4535;0;;0;0;"- -"
77;4535;0;;0;0;"- -"
78;4535;0;;0;0;"- -"
79;4535;0;;0;0;"- -"
80;4535;0;;0;0;"- -"
81;4535;0;;0;0;"- -"
82;4535;0;;0;0;"- -"
83;4535;0;;0;0;"- -"
84;4535;0;;0;0;"- -"
85;4535;0;;0;0;"- -"
86;4535;0;;0;0;"- -"
87;4535;0;;0;0;"- -"
88;4535;0;;0;0;"- -"
89;4535;0;;0;0;"- -"
90;4535;0;;0;0;"- -"
91;4535;0;;0;0;"- -"
10;2448;1;00022673405;1;72;"2024-12-19 16:27:06"
1;8888;0;;0;0;"- -"
10;2451;1;00022673405;1;72;"- -"
